iter	Passed	Remaining
968	17190	549
969	17208	532
970	17224	514
971	17240	496
972	17257	478
973	17273	461
974	17289	443
975	17308	425
976	17324	407
977	17342	390
978	17359	372
979	17375	354
980	17393	336
981	17410	319
982	17427	301
983	17444	283
984	17461	265
985	17479	248
986	17495	230
987	17512	212
988	17529	194
989	17545	177
990	17562	159
991	17580	141
992	17596	124
993	17614	106
994	17632	88
995	17651	70
996	17668	53
997	17686	35
998	17703	17
999	17720	0
