System_City_Calculated,Date,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
1904.5806451612902,2017-03-31,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333,2303.4193548387098
2658.0333333333333,2017-04-30,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258,2497.133333333333
3022.8387096774195,2017-05-31,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332,2940.516129032258
3572.2,2017-06-30,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127,3624.6098623333332
3326.5806451612902,2017-07-31,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226,3195.2258064516127
4001.2580645161293,2017-08-31,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8,3280.451612903226
3761.5666666666666,2017-09-30,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873,3650.8
2844.9032258064517,2017-10-31,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334,2751.7741935483873
2255.0,2017-11-30,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385,2184.4333333333334
1865.741935483871,2017-12-31,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129,2067.6774193548385
1615.6774193548388,2018-01-31,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287,1696.258064516129
1973.607142857143,2018-02-28,1615.6774193548388,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902,1515.5714285714287
2246.7419354838707,2018-03-31,1973.607142857143,1615.6774193548388,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333,1904.5806451612902
2482.2,2018-04-30,2246.7419354838707,1973.607142857143,1615.6774193548388,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195,2658.0333333333333
3070.967741935484,2018-05-31,2482.2,2246.7419354838707,1973.607142857143,1615.6774193548388,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2,3022.8387096774195
3347.1,2018-06-30,3070.967741935484,2482.2,2246.7419354838707,1973.607142857143,1615.6774193548388,1865.741935483871,2255.0,2844.9032258064517,3761.5666666666666,4001.2580645161293,3326.5806451612902,3572.2
