Date,Time,Datetime,System_City_Actual,Operating_Area,System_City
9-Sep-17,0:00,09SEP17:00:00,31,COA,Qassim
10-Sep-17,0:00,10SEP17:00:00,33,COA,Qassim
11-Sep-17,0:00,11SEP17:00:00,31,COA,Qassim
12-Sep-17,0:00,12SEP17:00:00,28,COA,Qassim
13-Sep-17,0:00,13SEP17:00:00,32,COA,Qassim
14-Sep-17,0:00,14SEP17:00:00,32,COA,Qassim
15-Sep-17,0:00,15SEP17:00:00,29,COA,Qassim
16-Sep-17,0:00,16SEP17:00:00,29,COA,Qassim
17-Sep-17,0:00,17SEP17:00:00,29.6,COA,Qassim
18-Sep-17,0:00,18SEP17:00:00,32,COA,Qassim
19-Sep-17,0:00,19SEP17:00:00,31,COA,Qassim
20-Sep-17,0:00,20SEP17:00:00,30,COA,Qassim
21-Sep-17,0:00,21SEP17:00:00,32,COA,Qassim
22-Sep-17,0:00,22SEP17:00:00,31,COA,Qassim
23-Sep-17,0:00,23SEP17:00:00,29,COA,Qassim
24-Sep-17,0:00,24SEP17:00:00,31,COA,Qassim
25-Sep-17,0:00,25SEP17:00:00,31.4,COA,Qassim
26-Sep-17,0:00,26SEP17:00:00,31,COA,Qassim
27-Sep-17,0:00,27SEP17:00:00,28,COA,Qassim
28-Sep-17,0:00,28SEP17:00:00,28,COA,Qassim
29-Sep-17,0:00,29SEP17:00:00,28,COA,Qassim
30-Sep-17,0:00,30SEP17:00:00,28,COA,Qassim
1-Jun-18,0:00,01JUN18:00:00,34,COA,Qassim
2-Jun-18,0:00,02JUN18:00:00,34,COA,Qassim
3-Jun-18,0:00,03JUN18:00:00,36,COA,Qassim
4-Jun-18,0:00,04JUN18:00:00,33,COA,Qassim
5-Jun-18,0:00,05JUN18:00:00,31,COA,Qassim
6-Jun-18,0:00,06JUN18:00:00,34,COA,Qassim
7-Jun-18,0:00,07JUN18:00:00,32,COA,Qassim
8-Jun-18,0:00,08JUN18:00:00,38,COA,Qassim
9-Jun-18,0:00,09JUN18:00:00,36,COA,Qassim
10-Jun-18,0:00,10JUN18:00:00,35,COA,Qassim
11-Jun-18,0:00,11JUN18:00:00,37,COA,Qassim
12-Jun-18,0:00,12JUN18:00:00,31,COA,Qassim
13-Jun-18,0:00,13JUN18:00:00,31,COA,Qassim
14-Jun-18,0:00,14JUN18:00:00,32,COA,Qassim
15-Jun-18,0:00,15JUN18:00:00,31,COA,Qassim
16-Jun-18,0:00,16JUN18:00:00,30,COA,Qassim
17-Jun-18,0:00,17JUN18:00:00,30,COA,Qassim
18-Jun-18,0:00,18JUN18:00:00,30,COA,Qassim
19-Jun-18,0:00,19JUN18:00:00,32,COA,Qassim
20-Jun-18,0:00,20JUN18:00:00,32,COA,Qassim
21-Jun-18,0:00,21JUN18:00:00,35,COA,Qassim
22-Jun-18,0:00,22JUN18:00:00,36,COA,Qassim
23-Jun-18,0:00,23JUN18:00:00,34,COA,Qassim
24-Jun-18,0:00,24JUN18:00:00,31,COA,Qassim
25-Jun-18,0:00,25JUN18:00:00,32,COA,Qassim
26-Jun-18,0:00,26JUN18:00:00,32,COA,Qassim
27-Jun-18,0:00,27JUN18:00:00,33,COA,Qassim
28-Jun-18,0:00,28JUN18:00:00,35,COA,Qassim
29-Jun-18,0:00,29JUN18:00:00,34,COA,Qassim
30-Jun-18,0:00,30JUN18:00:00,33,COA,Qassim
1-Jul-18,0:00,01JUL18:00:00,35,COA,Qassim
2-Jul-18,0:00,02JUL18:00:00,34,COA,Qassim
3-Jul-18,0:00,03JUL18:00:00,35,COA,Qassim
4-Jul-18,0:00,04JUL18:00:00,35,COA,Qassim
5-Jul-18,0:00,05JUL18:00:00,37,COA,Qassim
6-Jul-18,0:00,06JUL18:00:00,37,COA,Qassim
7-Jul-18,0:00,07JUL18:00:00,38,COA,Qassim
8-Jul-18,0:00,08JUL18:00:00,38,COA,Qassim
9-Jul-18,0:00,09JUL18:00:00,38,COA,Qassim
10-Jul-18,0:00,10JUL18:00:00,38,COA,Qassim
11-Jul-18,0:00,11JUL18:00:00,37,COA,Qassim
12-Jul-18,0:00,12JUL18:00:00,37,COA,Qassim
13-Jul-18,0:00,13JUL18:00:00,38,COA,Qassim
14-Jul-18,0:00,14JUL18:00:00,37,COA,Qassim
15-Jul-18,0:00,15JUL18:00:00,39,COA,Qassim
16-Jul-18,0:00,16JUL18:00:00,35,COA,Qassim
17-Jul-18,0:00,17JUL18:00:00,33,COA,Qassim
18-Jul-18,0:00,18JUL18:00:00,34,COA,Qassim
19-Jul-18,0:00,19JUL18:00:00,33,COA,Qassim
20-Jul-18,0:00,20JUL18:00:00,35,COA,Qassim
21-Jul-18,0:00,21JUL18:00:00,35,COA,Qassim
22-Jul-18,0:00,22JUL18:00:00,36,COA,Qassim
23-Jul-18,0:00,23JUL18:00:00,35,COA,Qassim
24-Jul-18,0:00,24JUL18:00:00,35,COA,Qassim
25-Jul-18,0:00,25JUL18:00:00,33,COA,Qassim
26-Jul-18,0:00,26JUL18:00:00,33,COA,Qassim
27-Jul-18,0:00,27JUL18:00:00,32,COA,Qassim
28-Jul-18,0:00,28JUL18:00:00,32,COA,Qassim
29-Jul-18,0:00,29JUL18:00:00,34,COA,Qassim
30-Jul-18,0:00,30JUL18:00:00,34,COA,Qassim
31-Jul-18,0:00,31JUL18:00:00,35,COA,Qassim
1-Aug-18,0:00,01AUG18:00:00,33,COA,Qassim
2-Aug-18,0:00,02AUG18:00:00,33,COA,Qassim
3-Aug-18,0:00,03AUG18:00:00,32,COA,Qassim
4-Aug-18,0:00,04AUG18:00:00,31,COA,Qassim
5-Aug-18,0:00,05AUG18:00:00,34,COA,Qassim
6-Aug-18,0:00,06AUG18:00:00,37,COA,Qassim
7-Aug-18,0:00,07AUG18:00:00,36,COA,Qassim
8-Aug-18,0:00,08AUG18:00:00,34,COA,Qassim
9-Aug-18,0:00,09AUG18:00:00,34,COA,Qassim
10-Aug-18,0:00,10AUG18:00:00,36,COA,Qassim
11-Aug-18,0:00,11AUG18:00:00,36,COA,Qassim
12-Aug-18,0:00,12AUG18:00:00,36,COA,Qassim
13-Aug-18,0:00,13AUG18:00:00,35,COA,Qassim
14-Aug-18,0:00,14AUG18:00:00,34,COA,Qassim
15-Aug-18,0:00,15AUG18:00:00,32,COA,Qassim
17-Aug-18,0:00,17AUG18:00:00,32,COA,Qassim
18-Aug-18,0:00,18AUG18:00:00,32,COA,Qassim
19-Aug-18,0:00,19AUG18:00:00,31,COA,Qassim
20-Aug-18,0:00,20AUG18:00:00,30,COA,Qassim
21-Aug-18,0:00,21AUG18:00:00,31,COA,Qassim
22-Aug-18,0:00,22AUG18:00:00,32,COA,Qassim
23-Aug-18,0:00,23AUG18:00:00,33,COA,Qassim
24-Aug-18,0:00,24AUG18:00:00,33,COA,Qassim
25-Aug-18,0:00,25AUG18:00:00,33,COA,Qassim
26-Aug-18,0:00,26AUG18:00:00,32,COA,Qassim
27-Aug-18,0:00,27AUG18:00:00,31,COA,Qassim
28-Aug-18,0:00,28AUG18:00:00,33.4,COA,Qassim
29-Aug-18,0:00,29AUG18:00:00,33,COA,Qassim
30-Aug-18,0:00,30AUG18:00:00,33,COA,Qassim
31-Aug-18,0:00,31AUG18:00:00,33,COA,Qassim
1-Sep-18,0:00,01SEP18:00:00,34,COA,Qassim
2-Sep-18,0:00,02SEP18:00:00,34,COA,Qassim
3-Sep-18,0:00,03SEP18:00:00,32,COA,Qassim
4-Sep-18,0:00,04SEP18:00:00,33,COA,Qassim
5-Sep-18,0:00,05SEP18:00:00,34,COA,Qassim
6-Sep-18,0:00,06SEP18:00:00,34,COA,Qassim
7-Sep-18,0:00,07SEP18:00:00,33,COA,Qassim
8-Sep-18,0:00,08SEP18:00:00,34,COA,Qassim
9-Sep-18,0:00,09SEP18:00:00,32,COA,Qassim
10-Sep-18,0:00,10SEP18:00:00,32,COA,Qassim
11-Sep-18,0:00,11SEP18:00:00,34,COA,Qassim
12-Sep-18,0:00,12SEP18:00:00,33,COA,Qassim
13-Sep-18,0:00,13SEP18:00:00,33,COA,Qassim
14-Sep-18,0:00,14SEP18:00:00,33,COA,Qassim
15-Sep-18,0:00,15SEP18:00:00,31,COA,Qassim
16-Sep-18,0:00,16SEP18:00:00,32,COA,Qassim
18-Sep-18,0:00,18SEP18:00:00,33,COA,Qassim
20-Sep-18,0:00,20SEP18:00:00,32,COA,Qassim
21-Sep-18,0:00,21SEP18:00:00,29,COA,Qassim
22-Sep-18,0:00,22SEP18:00:00,33,COA,Qassim
23-Sep-18,0:00,23SEP18:00:00,33,COA,Qassim
24-Sep-18,0:00,24SEP18:00:00,31,COA,Qassim
25-Sep-18,0:00,25SEP18:00:00,32,COA,Qassim
26-Sep-18,0:00,26SEP18:00:00,34,COA,Qassim
27-Sep-18,0:00,27SEP18:00:00,33,COA,Qassim
28-Sep-18,0:00,28SEP18:00:00,36,COA,Qassim
29-Sep-18,0:00,29SEP18:00:00,33,COA,Qassim
30-Sep-18,0:00,30SEP18:00:00,31,COA,Qassim
1-Jun-19,0:00,01JUN19:00:00,32,COA,Qassim
2-Jun-19,0:00,02JUN19:00:00,31,COA,Qassim
3-Jun-19,0:00,03JUN19:00:00,31,COA,Qassim
4-Jun-19,0:00,04JUN19:00:00,34,COA,Qassim
5-Jun-19,0:00,05JUN19:00:00,33,COA,Qassim
6-Jun-19,0:00,06JUN19:00:00,33,COA,Qassim
7-Jun-19,0:00,07JUN19:00:00,32,COA,Qassim
8-Jun-19,0:00,08JUN19:00:00,32,COA,Qassim
9-Jun-19,0:00,09JUN19:00:00,32,COA,Qassim
10-Jun-19,0:00,10JUN19:00:00,32,COA,Qassim
11-Jun-19,0:00,11JUN19:00:00,35,COA,Qassim
12-Jun-19,0:00,12JUN19:00:00,36,COA,Qassim
13-Jun-19,0:00,13JUN19:00:00,35,COA,Qassim
14-Jun-19,0:00,14JUN19:00:00,34,COA,Qassim
15-Jun-19,0:00,15JUN19:00:00,36,COA,Qassim
16-Jun-19,0:00,16JUN19:00:00,34,COA,Qassim
17-Jun-19,0:00,17JUN19:00:00,32,COA,Qassim
18-Jun-19,0:00,18JUN19:00:00,33,COA,Qassim
19-Jun-19,0:00,19JUN19:00:00,34,COA,Qassim
20-Jun-19,0:00,20JUN19:00:00,34,COA,Qassim
21-Jun-19,0:00,21JUN19:00:00,32,COA,Qassim
22-Jun-19,0:00,22JUN19:00:00,28,COA,Qassim
23-Jun-19,0:00,23JUN19:00:00,31,COA,Qassim
24-Jun-19,0:00,24JUN19:00:00,33,COA,Qassim
25-Jun-19,0:00,25JUN19:00:00,33,COA,Qassim
26-Jun-19,0:00,26JUN19:00:00,33,COA,Qassim
27-Jun-19,0:00,27JUN19:00:00,34,COA,Qassim
28-Jun-19,0:00,28JUN19:00:00,32,COA,Qassim
29-Jun-19,0:00,29JUN19:00:00,35.4,COA,Qassim
30-Jun-19,0:00,30JUN19:00:00,34,COA,Qassim
1-Jul-19,0:00,01JUL19:00:00,35,COA,Qassim
2-Jul-19,0:00,02JUL19:00:00,34,COA,Qassim
3-Jul-19,0:00,03JUL19:00:00,34,COA,Qassim
4-Jul-19,0:00,04JUL19:00:00,35,COA,Qassim
5-Jul-19,0:00,05JUL19:00:00,34.2,COA,Qassim
6-Jul-19,0:00,06JUL19:00:00,34,COA,Qassim
7-Jul-19,0:00,07JUL19:00:00,33,COA,Qassim
8-Jul-19,0:00,08JUL19:00:00,35,COA,Qassim
9-Jul-19,0:00,09JUL19:00:00,34,COA,Qassim
10-Jul-19,0:00,10JUL19:00:00,34,COA,Qassim
11-Jul-19,0:00,11JUL19:00:00,31,COA,Qassim
12-Jul-19,0:00,12JUL19:00:00,30,COA,Qassim
13-Jul-19,0:00,13JUL19:00:00,33,COA,Qassim
14-Jul-19,0:00,14JUL19:00:00,32,COA,Qassim
15-Jul-19,0:00,15JUL19:00:00,32,COA,Qassim
16-Jul-19,0:00,16JUL19:00:00,31,COA,Qassim
17-Jul-19,0:00,17JUL19:00:00,32,COA,Qassim
18-Jul-19,0:00,18JUL19:00:00,34,COA,Qassim
19-Jul-19,0:00,19JUL19:00:00,31,COA,Qassim
20-Jul-19,0:00,20JUL19:00:00,32,COA,Qassim
21-Jul-19,0:00,21JUL19:00:00,32,COA,Qassim
22-Jul-19,0:00,22JUL19:00:00,32,COA,Qassim
23-Jul-19,0:00,23JUL19:00:00,32,COA,Qassim
24-Jul-19,0:00,24JUL19:00:00,33,COA,Qassim
25-Jul-19,0:00,25JUL19:00:00,35,COA,Qassim
26-Jul-19,0:00,26JUL19:00:00,33,COA,Qassim
27-Jul-19,0:00,27JUL19:00:00,36,COA,Qassim
28-Jul-19,0:00,28JUL19:00:00,34,COA,Qassim
29-Jul-19,0:00,29JUL19:00:00,35,COA,Qassim
30-Jul-19,0:00,30JUL19:00:00,34,COA,Qassim
31-Jul-19,0:00,31JUL19:00:00,34,COA,Qassim
1-Aug-19,0:00,01AUG19:00:00,35,COA,Qassim
2-Aug-19,0:00,02AUG19:00:00,36,COA,Qassim
3-Aug-19,0:00,03AUG19:00:00,36,COA,Qassim
4-Aug-19,0:00,04AUG19:00:00,34,COA,Qassim
5-Aug-19,0:00,05AUG19:00:00,31,COA,Qassim
6-Aug-19,0:00,06AUG19:00:00,32,COA,Qassim
7-Aug-19,0:00,07AUG19:00:00,31,COA,Qassim
8-Aug-19,0:00,08AUG19:00:00,31,COA,Qassim
